name,"Criterion 1","Criterion 2","Criterion 3","Criterion 4",category
"Alternative 1",0.37454012,0.796543002,0.95071429,0.183434784,"Best category"
"Alternative 2",0.731993914,0.779690981,0.598658502,0.596850157,"Best category"
"Alternative 3",0.156018645,0.445832759,0.15599452,0.0999749228,"Worst category"
"Alternative 4",0.0580836125,0.4592489,0.866176128,0.333708614,"Best category"
"Alternative 5",0.601114988,0.14286682,0.708072603,0.650888503,"Best category"
"Alternative 6",0.0205844995,0.0564115755,0.969909847,0.721998751,"Best category"
"Alternative 7",0.832442641,0.938552737,0.212339118,0.000778764719,"Best category"
"Alternative 8",0.181824967,0.99221158,0.183404505,0.61748153,"Best category"
"Alternative 9",0.304242253,0.611653149,0.524756432,0.00706630852,"Worst category"
"Alternative 10",0.431945026,0.0230624285,0.291229129,0.524774671,"Best category"
"Alternative 11",0.611852884,0.399860978,0.139493868,0.0466656685,"Worst category"
"Alternative 12",0.292144656,0.973755538,0.366361856,0.232771337,"Best category"
"Alternative 13",0.456069976,0.0906064361,0.785175979,0.61838603,"Best category"
"Alternative 14",0.199673787,0.382461995,0.514234424,0.983230889,"Best category"
"Alternative 15",0.592414558,0.4667629,0.0464504063,0.85994041,"Worst category"
"Alternative 16",0.607544839,0.680307567,0.17052412,0.450499266,"Best category"
"Alternative 17",0.0650515929,0.0132649578,0.94888556,0.942201734,"Best category"
"Alternative 18",0.965632021,0.563288212,0.808397353,0.385416508,"Best category"
"Alternative 19",0.304613769,0.0159662571,0.0976721197,0.230893821,"Worst category"
"Alternative 20",0.68423301,0.241025463,0.440152496,0.68326354,"Best category"
"Alternative 21",0.12203823,0.609996676,0.495176911,0.833194911,"Best category"
"Alternative 22",0.0343885235,0.173364654,0.909320414,0.391060621,"Best category"
"Alternative 23",0.258779973,0.18223609,0.662522256,0.755361438,"Best category"
"Alternative 24",0.311711073,0.425155878,0.520068049,0.207941666,"Worst category"
"Alternative 25",0.546710253,0.567700326,0.184854463,0.0313132927,"Worst category"
"Alternative 26",0.969584644,0.842284799,0.775132835,0.449754119,"Best category"
"Alternative 27",0.939498961,0.395150244,0.894827366,0.926658869,"Best category"
"Alternative 28",0.597899973,0.727271974,0.921874225,0.326540768,"Best category"
"Alternative 29",0.0884924978,0.570443988,0.195982859,0.520834267,"Best category"
"Alternative 30",0.0452272892,0.961172044,0.325330317,0.844533861,"Best category"
"Alternative 31",0.388677299,0.747320116,0.271349043,0.539692104,"Best category"
